Event number,event_uuid,start_time,end_time,Primary category,Rally Shot Type,Z Game Number,Receiving Location,Won By,Result Type,Server,Serving Location
1,22f49ee5-111b-44f5-b026-348030e48d47,11.42,16.42,Player B Zone 5,Serve,Game 1,Player A Zone 2,,,Player B,Right
2,c5e24ddb-0a2b-4223-9a2e-55a6e618f2f0,12.305,17.305,Player A Zone 2,Net Shot,Game 1,Player B Zone 2,,,Player B,Right
3,3ab7a826-6a77-4504-8cd3-0a6a0e2ee573,13.082,18.082,Player B Zone 2,Lift,Game 1,Player A Zone 9,,,Player B,Right
4,7ddd9f80-0a4d-478e-95ab-e9a2006e5d45,14.412,19.412,Player A Zone 9,Smash,Game 1,Player B Zone 5,,,Player B,Right
5,6e6f7058-26bf-486c-b453-f9c031c89072,14.898,19.898,Player B Zone 5,Drop,Game 1,Player A Zone 3,,,Player B,Right
6,d728c083-942b-4559-b957-d43df465c054,16.142,21.142,Player A Zone 3,Net Shot,Game 1,Player B Zone 1,,,Player B,Right
7,8195e671-0408-4962-a7b2-29001bd60e81,16.877,21.877,Player B Zone 1,Net Kill,Game 1,Player A Zone 8,Won Point Player B,Winner,Player B,Right
8,60597a4e-9675-4c01-9fab-ab699662d1fd,18.873,23.873,Player B Zone 5,Serve,Game 1,Player A Zone 2,,,Player B,Left
9,8fb7d7df-0a61-458a-a2d6-127bbad1e61e,19.738,24.738,Player A Zone 2,Lift,Game 1,Player B Zone 7,,,Player B,Left
10,7f45caa9-5634-44b7-bbc3-34d95cd83732,21.001,26.001,Player B Zone 7,Smash,Game 1,Player A Zone 7,Won Point Player B,Winner,Player B,Left
11,bc125980-036a-41f4-9934-b51ff5e0a963,24.598,29.598,Player B Zone 5,Serve,Game 1,Player A Zone 3,,,Player B,Right
12,7b686d74-db13-4a1b-bee6-a0f75b0c24a3,25.38,30.38,Player A Zone 3,Lift,Game 1,Player B Zone 9,,,Player B,Right
13,eaa2a472-05a7-4930-ab6e-a258e833f2c6,26.407,31.407,Player B Zone 9,Drop,Game 1,Player A Zone 4,,,Player B,Right
14,7d81095e-83b6-4d3a-af57-8d7cbcbe7a12,27.261,32.261,Player A Zone 4,Lift,Game 1,Player B Zone 9,,,Player B,Right
15,164d5236-941c-41ee-92a1-cc536e5c986d,28.36,33.36,Player B Zone 9,Smash,Game 1,Player A Zone 7,Won Point Player B,Winner,Player B,Right
16,c135b736-2125-4da7-b315-5c63c1227816,31.864,36.864,Player B Zone 5,Serve,Game 1,Player A Zone 2,,,Player B,Left
17,045375c5-d4cb-462e-96c6-0fe460ca0421,32.765,37.765,Player A Zone 2,Net Shot,Game 1,Player B Zone 3,,,Player B,Left
18,412bf5af-5da0-4317-b4a6-15d0432e5ce6,33.63,38.63,Player B Zone 3,Lift,Game 1,Player A Zone 8,,,Player B,Left
